id,d1_0,d1_1,c1_0,c1_1,metac_0,metac_1,mceff_0,mceff_1,ln_mceff_0,ln_mceff_1
1,2.32114,0.42818,-0.037809,-0.059219,-0.032123,-0.021057,0.792644526,0.656241949,-0.232380423,-0.421225733
2,3.25037,0.447197,-0.14364,-0.3008,-0.13938,0.49249,0.84690317,0.577856841,-0.166168912,-0.548429121
3,3.11675,2.66173,-0.43561,-0.27779,-0.22799,-0.33976,0.727453752,0.988859515,-0.318204853,-0.011203005
4,1.88196,-1.42594,-0.66767,-0.27518,-0.53154,-0.28657,0.778728953,0.809149392,-0.250092236,-0.211771716
5,3.60264,-0.0776673,0.19267,-0.11604,0.24252,-0.50079,1.079773685,0.934184957,0.076751468,-0.068080834
6,3.98797,1.4078,1.11E-16,0.22326,9.33E-17,0.28311,0.875896233,0.916654298,-0.132507651,-0.08702487
7,2.98333,-2.67992,-0.11699,0.14158,-0.07233,0.025544,0.897732767,0.50559522,-0.107882842,-0.68201889
8,2.12317,0.84403,-0.70724,-0.77636,-0.64973,-0.2631,0.810076668,0.585220677,-0.210626384,-0.535766277
9,3.03834,0,-0.90403,-0.92715,-1.1294,-0.92715,1.06523774,0.861899143,0.063198004,-0.148617019
10,3.54596,0.753474,-0.65022,-0.49269,-0.48627,-0.077456,0.746024707,0.581695298,-0.29299656,-0.541808511
11,1.38364,0.0413757,-0.12263,-0.37504,-0.097899,1.597,0.754236294,0.657138373,-0.282049573,-0.419860669
12,4.41718,3.37748,0.21461,-0.080086,0.13684,-0.029933,0.743295403,0.566736297,-0.296661732,-0.567861168
13,3.27554,1.86081,-0.35622,-0.26797,-0.38903,-0.17148,0.95302743,0.698108671,-0.048111593,-0.359380499
14,2.81892,2.65642,1.0137,0.66577,0.67876,0.44636,0.674393509,0.615927114,-0.393941497,-0.484626644
15,2.89159,-0.849951,-0.32303,-0.50218,-0.29793,-0.39748,0.883233473,0.722195357,-0.124165704,-0.325459599
16,2.42775,-1.06561,0.1608,-0.17846,0.14071,-0.10114,0.812577417,0.643023286,-0.207544087,-0.441574341
17,1.80261,-0.80267,-0.08685,-0.16785,-0.0089607,-0.094998,0.609426184,0.575245478,-0.495237447,-0.552958411
18,3.05038,1.86753,-0.24364,0.11931,-0.23613,0.14597,0.907945809,0.967767648,-0.096570584,-0.032763254
19,2.1928,0.653714,0.38514,0.28828,0.18749,0.17184,0.625669274,0.573268791,-0.468933364,-0.556400578
20,4.03185,2.30183,0.40727,-0.22376,0.083485,-0.093714,0.577137504,0.496931207,-0.549674732,-0.699303679
21,2.33801,0.325719,0.59982,0.82529,0.79081,2.1347,1.091626569,1.107325717,0.087668849,0.101947844
22,2.14398,-1.39607,0.40955,0.42473,0.25861,0.11926,0.660425263,0.497457692,-0.414871314,-0.698244767
23,1.47689,-1.28155,-0.07601,-0.64078,-0.053473,-0.49512,0.752714908,0.662593088,-0.284068731,-0.411594221
24,2.75583,0.181791,0.61607,0.57154,0.45173,0.92648,0.720765955,0.656791432,-0.327440806,-0.420388766
25,1.99219,-2.49744,0.12667,-0.12596,0.14165,-0.10204,0.93363188,0.79088538,-0.068673051,-0.234602227
26,0.671275,0.708699,0.10215,2.78E-17,0.029457,1.67E-17,0.700195708,0.612337345,-0.3563954,-0.490471931
27,1.89908,-1.10699,0.42514,0.15777,0.15048,0.070055,0.615119867,0.541331877,-0.485938124,-0.613722737
28,3.70475,0.124218,-0.57082,-0.37568,-0.26744,-0.061568,0.635111925,0.588094278,-0.453954036,-0.530868007
29,2.47463,-0.946627,0.75667,0.39611,0.53246,0.26069,0.710609632,0.633309246,-0.341632041,-0.456796436
30,1.76352,1.45188,-0.72689,-0.64874,-0.61533,-0.45049,0.766757244,0.656329022,-0.265585028,-0.421093058
31,3.37748,1.12803,-0.080086,-0.25044,-0.051824,-0.017289,0.682245771,0.497625543,-0.382365318,-0.697907406
32,2.85622,-0.586881,0.053432,0.020131,0.030197,0.021932,0.679076469,0.658797166,-0.387021538,-0.417339582
33,3.37748,1.85074,0.080086,0.35618,0.031621,0.12198,0.601342817,0.483243042,-0.508590096,-0.727235559
34,1.85532,1.3975,-0.44702,-0.5828,-0.31602,-0.44877,0.733937807,0.671437921,-0.309330986,-0.398333716
35,1.4488,-3.04706,0.32867,-0.47046,0.19939,-0.12007,0.643710622,0.444255436,-0.440505999,-0.811355576
36,1.81492,-0.895921,-0.14561,0.21448,-0.038411,0.19971,0.605369538,0.627707372,-0.501916201,-0.465681189
37,3.21731,0.592661,0,-0.14146,0,-0.18373,0.753714041,0.741293268,-0.282742239,-0.299358959
